,solar_zenith,solar_azimuth,dni,dhi,ghi,poa_global,pdc,tilt
2025-05-01 00:00:00+08:00,133.7646558653558,2.959060050371477,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-01 01:00:00+08:00,130.93104279231258,22.2308528074754,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-01 02:00:00+08:00,124.38982604849464,38.60405940972521,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-01 03:00:00+08:00,115.26862769075683,51.61037275861037,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-01 04:00:00+08:00,104.51754121322642,61.95621318736943,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-01 05:00:00+08:00,92.76646064597368,70.53748763786302,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-01 06:00:00+08:00,80.31762637265753,78.1228774694332,462.9280019758987,99.0,600,120.87398894971052,39.767542364454755,30
2025-05-01 07:00:00+08:00,67.67373580930243,85.38765312708654,607.5843118548768,99.0,600,277.69567405500925,91.36187676409804,30
2025-05-01 08:00:00+08:00,54.86375920455854,93.08454563428478,750.743017960822,100.66129824620091,600,492.65807841868184,162.08450779974632,30
2025-05-01 09:00:00+08:00,42.1592039097527,102.40715981313178,345.4508503008282,261.2951117475373,600,498.5079562644246,164.0091176109957,30
2025-05-01 10:00:00+08:00,30.028372886383856,116.0024053622646,214.66906708355418,376.1333947779459,600,543.4798440295849,178.80486868573342,30
2025-05-01 11:00:00+08:00,19.863743876747535,141.09477144483827,121.42071283791846,426.6741813549477,600,521.0808070769663,171.4355855283219,30
2025-05-01 12:00:00+08:00,16.184763032345145,187.73145066053902,109.55094919718704,438.06707034121166,600,523.0035531483267,172.06816898579947,30
2025-05-01 13:00:00+08:00,22.477656859304645,228.3789079168962,172.48761469583692,416.6089096900374,600,556.6707606162374,183.14468024274208,30
2025-05-01 14:00:00+08:00,33.490025911318774,248.84490954320486,255.85395627279237,350.55947046876224,600,545.3804532395957,179.43016911582697,30
2025-05-01 15:00:00+08:00,45.8615362396796,260.7365233536438,476.8484613759719,211.5740176627363,600,520.5688428591386,171.2671493006566,30
2025-05-01 16:00:00+08:00,58.62076763374985,269.41005018573503,710.3953341463547,99.0,600,423.8744726156615,139.45470149055265,30
2025-05-01 17:00:00+08:00,71.39580537631639,276.8964052633613,648.2952256157242,99.0,600,242.6342273655198,79.826660803256,30
2025-05-01 18:00:00+08:00,83.90553120701979,284.1992380049568,352.1391989921175,99.0,600,100.40673326026341,33.03381524262666,30
2025-05-01 19:00:00+08:00,96.23027232476245,292.0229557763734,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-01 20:00:00+08:00,107.70327075424612,301.0558951486105,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-01 21:00:00+08:00,118.0097495424518,312.1036513471736,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-01 22:00:00+08:00,126.43021639874894,326.04942679137343,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-01 23:00:00+08:00,131.93479902505007,343.35747840620354,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 00:00:00+08:00,133.4618465020668,2.979105518825577,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 01:00:00+08:00,130.63730638862853,22.132794155299905,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 02:00:00+08:00,124.12284911984743,38.43122355940443,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 03:00:00+08:00,115.03208898484473,51.40186297953301,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 04:00:00+08:00,104.3077333976069,61.73131561149461,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 05:00:00+08:00,92.57757446190764,70.30127003841216,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 06:00:00+08:00,80.14512866399669,77.87239915289729,467.19169584428107,99.0,600,121.30336462232259,39.90880696074413,30
2025-05-02 07:00:00+08:00,67.5086777809598,85.11454363189483,608.757588676195,99.0,600,278.1330715755273,91.50578054834848,30
2025-05-02 08:00:00+08:00,54.69973170835805,92.77479062068107,748.7253895532019,101.3098721744722,600,492.0468450261349,161.8834120135984,30
2025-05-02 09:00:00+08:00,41.98550096308968,102.03954224785303,348.6002016025374,263.0602816279677,600,502.20162237493446,165.22433376135345,30
2025-05-02 10:00:00+08:00,29.825805631520346,115.55548729253655,212.92755609345443,377.1377445907852,600,542.7304328960241,178.55831242279194,30
2025-05-02 11:00:00+08:00,19.599911074691022,140.66521705484746,120.62831453964135,427.3078740177537,600,520.7851491440558,171.33831406839437,30
2025-05-02 12:00:00+08:00,15.890634241000214,187.96089118107076,108.92719923049735,438.5773123484513,600,522.7340703172362,171.9795091343707,30
2025-05-02 13:00:00+08:00,22.272376313669128,228.95612104200956,171.5160227520496,417.1656982908048,600,556.057384375086,182.9428794594033,30
2025-05-02 14:00:00+08:00,33.34488623082336,249.3227004126407,254.2523135140476,351.3735102678039,600,544.4895663957857,179.13706734421348,30
2025-05-02 15:00:00+08:00,45.740894589981416,261.12013353919093,473.4196389242908,212.87497800614642,600,518.9588192882192,170.7374515458241,30
2025-05-02 16:00:00+08:00,58.506688997357884,269.7353872691408,710.7982534760274,99.0,600,423.3791419180293,139.2917376910316,30
2025-05-02 17:00:00+08:00,71.27802217552302,277.1874530751629,649.5341817321458,99.0,600,242.47659272012442,79.77479900492092,30
2025-05-02 18:00:00+08:00,83.77827154395524,284.47111050577263,356.5645944645952,99.0,600,100.40673326026341,33.03381524262666,30
2025-05-02 19:00:00+08:00,96.08206361184502,292.28492000986176,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 20:00:00+08:00,107.52923790302641,301.3116121651092,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 21:00:00+08:00,117.80241799048132,312.34790271237983,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 22:00:00+08:00,126.18425635726797,326.2606339693202,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-02 23:00:00+08:00,131.65340342511394,343.492742961094,0.0,600.0,600,567.8460969082653,186.82136588281926,30
2025-05-03 00:00:00+08:00,133.16337208842424,2.9962175253360215,0.0,600.0,600,567.8460969082653,186.82136588281926,30
